,time_period,rainfall,mean_temperature,population,location,E,month,ID_year,ID_spat,rainsum,meantemperature
1,2017-02,234.681,25.63,7031019.90947438,Goias,7031019.90947438,2,2017,Goias,234.681,25.63
2,2017-03,198.936,25.64,7031019.90947438,Goias,7031019.90947438,3,2017,Goias,198.936,25.64
3,2017-04,103.977,26.35,7031019.90947438,Goias,7031019.90947438,4,2017,Goias,103.977,26.35
4,2017-05,28.207,27.38,7031019.90947438,Goias,7031019.90947438,5,2017,Goias,28.207,27.38
5,2017-06,2.516,27.04,7031019.90947438,Goias,7031019.90947438,6,2017,Goias,2.516,27.04
0,2017-01,315.987,25.17,5398479.73975255,Maranhao,5398479.73975255,1,2017,Maranhao,315.987,25.17
1,2017-02,296.119,24.91,5398479.73975255,Maranhao,5398479.73975255,2,2017,Maranhao,296.119,24.91
2,2017-03,268.818,25.25,5398479.73975255,Maranhao,5398479.73975255,3,2017,Maranhao,268.818,25.25
3,2017-04,176.092,25.14,5398479.73975255,Maranhao,5398479.73975255,4,2017,Maranhao,176.092,25.14
4,2017-05,105.178,25.39,5398479.73975255,Maranhao,5398479.73975255,5,2017,Maranhao,105.178,25.39
5,2017-06,22.002,24.74,5398479.73975255,Maranhao,5398479.73975255,6,2017,Maranhao,22.002,24.74
0,2017-01,196.052,24.91,3042394.12722741,MatoGrosso,3042394.12722741,1,2017,MatoGrosso,196.052,24.91
1,2017-02,157.62,24.98,3042394.12722741,MatoGrosso,3042394.12722741,2,2017,MatoGrosso,157.62,24.98
2,2017-03,245.283,25.06,3042394.12722741,MatoGrosso,3042394.12722741,3,2017,MatoGrosso,245.283,25.06
3,2017-04,230.127,25.3,3042394.12722741,MatoGrosso,3042394.12722741,4,2017,MatoGrosso,230.127,25.3
4,2017-05,359.64,24.85,3042394.12722741,MatoGrosso,3042394.12722741,5,2017,MatoGrosso,359.64,24.85
5,2017-06,344.707,24.45,3042394.12722741,MatoGrosso,3042394.12722741,6,2017,MatoGrosso,344.707,24.45
0,2017-01,219.024,22.28,21908005.3518378,MinasGerais,21908005.3518378,1,2017,MinasGerais,219.024,22.28
1,2017-02,147.904,22.63,21908005.3518378,MinasGerais,21908005.3518378,2,2017,MinasGerais,147.904,22.63
2,2017-03,125.56,20.48,21908005.3518378,MinasGerais,21908005.3518378,3,2017,MinasGerais,125.56,20.48
3,2017-04,115.547,17.73,21908005.3518378,MinasGerais,21908005.3518378,4,2017,MinasGerais,115.547,17.73
4,2017-05,250.375,16.56,21908005.3518378,MinasGerais,21908005.3518378,5,2017,MinasGerais,250.375,16.56
