,time_period,rainfall,mean_temperature,population,location,E,month,ID_year,ID_spat,rainsum,meantemperature
0,2016-11,369.473,24.1,262420.646205357,BinhDinh,262420.646205357,11,2016,BinhDinh,369.473,24.1
1,2016-12,657.987,22.32,262420.646205357,BinhDinh,262420.646205357,12,2016,BinhDinh,657.987,22.32
2,2017-01,171.953,22.06,265789.823102679,BinhDinh,265789.823102679,1,2017,BinhDinh,171.953,22.06
3,2017-02,127.02,21.57,265789.823102679,BinhDinh,265789.823102679,2,2017,BinhDinh,127.02,21.57
4,2017-03,64.888,23.71,265789.823102679,BinhDinh,265789.823102679,3,2017,BinhDinh,64.888,23.71
5,2017-04,112.804,25.89,265789.823102679,BinhDinh,265789.823102679,4,2017,BinhDinh,112.804,25.89
0,2016-11,277.168,26.44,932546.767857143,CaMau,932546.767857143,11,2016,CaMau,277.168,26.44
1,2016-12,221.256,25.74,932546.767857143,CaMau,932546.767857143,12,2016,CaMau,221.256,25.74
2,2017-01,93.123,25.96,947523.383928571,CaMau,947523.383928571,1,2017,CaMau,93.123,25.96
3,2017-02,64.023,26.1,947523.383928571,CaMau,947523.383928571,2,2017,CaMau,64.023,26.1
4,2017-03,94.989,27.19,947523.383928571,CaMau,947523.383928571,3,2017,CaMau,94.989,27.19
5,2017-04,190.699,27.79,947523.383928571,CaMau,947523.383928571,4,2017,CaMau,190.699,27.79
0,2016-11,303.55,23.92,2901918.07979911,DaNang,2901918.07979911,11,2016,DaNang,303.55,23.92
1,2016-12,540.19,22.48,2901918.07979911,DaNang,2901918.07979911,12,2016,DaNang,540.19,22.48
2,2017-01,261.366,22.12,2920949.03989955,DaNang,2920949.03989955,1,2017,DaNang,261.366,22.12
3,2017-02,129.278,21.78,2920949.03989955,DaNang,2920949.03989955,2,2017,DaNang,129.278,21.78
4,2017-03,51.627,23.71,2920949.03989955,DaNang,2920949.03989955,3,2017,DaNang,51.627,23.71
5,2017-04,117.711,25.42,2920949.03989955,DaNang,2920949.03989955,4,2017,DaNang,117.711,25.42
0,2016-11,225.592,26.53,1780674.56696429,DakLak,1780674.56696429,11,2016,DakLak,225.592,26.53
1,2016-12,185.229,25.73,1780674.56696429,DakLak,1780674.56696429,12,2016,DakLak,185.229,25.73
2,2017-01,89.285,25.9,1806195.28348214,DakLak,1806195.28348214,1,2017,DakLak,89.285,25.9
3,2017-02,74.823,26.09,1806195.28348214,DakLak,1806195.28348214,2,2017,DakLak,74.823,26.09
4,2017-03,102.07,27.24,1806195.28348214,DakLak,1806195.28348214,3,2017,DakLak,102.07,27.24
5,2017-04,186.91,27.69,1806195.28348214,DakLak,1806195.28348214,4,2017,DakLak,186.91,27.69
0,2016-11,158.365,21.36,431622.820731027,DienBien,431622.820731027,11,2016,DienBien,158.365,21.36
1,2016-12,235.491,20.33,431622.820731027,DienBien,431622.820731027,12,2016,DienBien,235.491,20.33
2,2017-01,131.453,20.13,436027.910365513,DienBien,436027.910365513,1,2017,DienBien,131.453,20.13
3,2017-02,82.891,19.88,436027.910365513,DienBien,436027.910365513,2,2017,DienBien,82.891,19.88
4,2017-03,90.926,21.85,436027.910365513,DienBien,436027.910365513,3,2017,DienBien,90.926,21.85
5,2017-04,208.557,22.41,436027.910365513,DienBien,436027.910365513,4,2017,DienBien,208.557,22.41
0,2016-11,122.22,20.06,1150195.11886161,GiaLai,1150195.11886161,11,2016,GiaLai,122.22,20.06
