,time_period,rainfall,mean_temperature,population,location,E,month,ID_year,ID_spat,rainsum,meantemperature
1,2016-12,37.483,17.58,1150195.11886161,GiaLai,1150195.11886161,12,2016,GiaLai,37.483,17.58
2,2017-01,60.289,17.42,1165471.0594308,GiaLai,1165471.0594308,1,2017,GiaLai,60.289,17.42
3,2017-02,25.487,17.24,1165471.0594308,GiaLai,1165471.0594308,2,2017,GiaLai,25.487,17.24
4,2017-03,86.484,21.37,1165471.0594308,GiaLai,1165471.0594308,3,2017,GiaLai,86.484,21.37
5,2017-04,65.755,23.98,1165471.0594308,GiaLai,1165471.0594308,4,2017,GiaLai,65.755,23.98
0,2016-11,273.989,24.34,8622948.85714286,HaNoi,8622948.85714286,11,2016,HaNoi,273.989,24.34
1,2016-12,487.34,22.76,8622948.85714286,HaNoi,8622948.85714286,12,2016,HaNoi,487.34,22.76
2,2017-01,219.265,22.46,8697718.42857143,HaNoi,8697718.42857143,1,2017,HaNoi,219.265,22.46
3,2017-02,159.533,22.03,8697718.42857143,HaNoi,8697718.42857143,2,2017,HaNoi,159.533,22.03
4,2017-03,50.862,23.99,8697718.42857143,HaNoi,8697718.42857143,3,2017,HaNoi,50.862,23.99
5,2017-04,121.103,25.98,8697718.42857143,HaNoi,8697718.42857143,4,2017,HaNoi,121.103,25.98
0,2016-11,363.929,21.67,2342389.66964286,HaiPhong,2342389.66964286,11,2016,HaiPhong,363.929,21.67
1,2016-12,201.776,19.32,2342389.66964286,HaiPhong,2342389.66964286,12,2016,HaiPhong,201.776,19.32
2,2017-01,162.635,18.98,2368981.83482143,HaiPhong,2368981.83482143,1,2017,HaiPhong,162.635,18.98
3,2017-02,105.682,18.78,2368981.83482143,HaiPhong,2368981.83482143,2,2017,HaiPhong,105.682,18.78
4,2017-03,174.683,22.27,2368981.83482143,HaiPhong,2368981.83482143,3,2017,HaiPhong,174.683,22.27
5,2017-04,76.021,24.71,2368981.83482143,HaiPhong,2368981.83482143,4,2017,HaiPhong,76.021,24.71
0,2016-11,442.273,22.47,1697892.97321429,HauGiang,1697892.97321429,11,2016,HauGiang,442.273,22.47
1,2016-12,753.662,20.22,1697892.97321429,HauGiang,1697892.97321429,12,2016,HauGiang,753.662,20.22
2,2017-01,199.021,20.17,1711323.98660714,HauGiang,1711323.98660714,1,2017,HauGiang,199.021,20.17
3,2017-02,199.113,19.65,1711323.98660714,HauGiang,1711323.98660714,2,2017,HauGiang,199.113,19.65
4,2017-03,190.375,22.91,1711323.98660714,HauGiang,1711323.98660714,3,2017,HauGiang,190.375,22.91
5,2017-04,215.065,24.64,1711323.98660714,HauGiang,1711323.98660714,4,2017,HauGiang,215.065,24.64
0,2016-11,85.336,20.23,7886414.57142857,HoChiMinh,7886414.57142857,11,2016,HoChiMinh,85.336,20.23
1,2016-12,24.914,17.98,7886414.57142857,HoChiMinh,7886414.57142857,12,2016,HoChiMinh,24.914,17.98
2,2017-01,82.385,17.52,7980439.78571429,HoChiMinh,7980439.78571429,1,2017,HoChiMinh,82.385,17.52
3,2017-02,25.306,17.36,7980439.78571429,HoChiMinh,7980439.78571429,2,2017,HoChiMinh,25.306,17.36
4,2017-03,83.979,20.89,7980439.78571429,HoChiMinh,7980439.78571429,3,2017,HoChiMinh,83.979,20.89
5,2017-04,67.028,23.96,7980439.78571429,HoChiMinh,7980439.78571429,4,2017,HoChiMinh,67.028,23.96
0,2016-11,238.158,26.51,520856.887834821,KhanhHoa,520856.887834821,11,2016,KhanhHoa,238.158,26.51
1,2016-12,177.852,25.6,520856.887834821,KhanhHoa,520856.887834821,12,2016,KhanhHoa,177.852,25.6
2,2017-01,116.791,25.9,525125.443917411,KhanhHoa,525125.443917411,1,2017,KhanhHoa,116.791,25.9
3,2017-02,49.26,26.0,525125.443917411,KhanhHoa,525125.443917411,2,2017,KhanhHoa,49.26,26.0
4,2017-03,33.183,27.48,525125.443917411,KhanhHoa,525125.443917411,3,2017,KhanhHoa,33.183,27.48
5,2017-04,115.025,28.11,525125.443917411,KhanhHoa,525125.443917411,4,2017,KhanhHoa,115.025,28.11
0,2016-11,581.295,23.63,1422824.89508929,KienGiang,1422824.89508929,11,2016,KienGiang,581.295,23.63
1,2016-12,860.012,21.45,1422824.89508929,KienGiang,1422824.89508929,12,2016,KienGiang,860.012,21.45
2,2017-01,292.413,21.21,1436137.44754464,KienGiang,1436137.44754464,1,2017,KienGiang,292.413,21.21
3,2017-02,235.319,20.66,1436137.44754464,KienGiang,1436137.44754464,2,2017,KienGiang,235.319,20.66
4,2017-03,234.08,23.49,1436137.44754464,KienGiang,1436137.44754464,3,2017,KienGiang,234.08,23.49
5,2017-04,203.074,25.4,1436137.44754464,KienGiang,1436137.44754464,4,2017,KienGiang,203.074,25.4
0,2016-11,112.977,23.55,928093.404017857,LamDong,928093.404017857,11,2016,LamDong,112.977,23.55
1,2016-12,181.609,21.99,928093.404017857,LamDong,928093.404017857,12,2016,LamDong,181.609,21.99
2,2017-01,103.033,21.67,936333.702008929,LamDong,936333.702008929,1,2017,LamDong,103.033,21.67
3,2017-02,55.98,21.67,936333.702008929,LamDong,936333.702008929,2,2017,LamDong,55.98,21.67
4,2017-03,43.591,24.54,936333.702008929,LamDong,936333.702008929,3,2017,LamDong,43.591,24.54
5,2017-04,135.066,25.71,936333.702008929,LamDong,936333.702008929,4,2017,LamDong,135.066,25.71
0,2016-11,108.119,18.56,3939654.51674107,NgheAn,3939654.51674107,11,2016,NgheAn,108.119,18.56
1,2016-12,6.48,16.61,3939654.51674107,NgheAn,3939654.51674107,12,2016,NgheAn,6.48,16.61
2,2017-01,94.223,15.79,3972210.75837054,NgheAn,3972210.75837054,1,2017,NgheAn,94.223,15.79
3,2017-02,25.707,16.02,3972210.75837054,NgheAn,3972210.75837054,2,2017,NgheAn,25.707,16.02
4,2017-03,141.966,19.74,3972210.75837054,NgheAn,3972210.75837054,3,2017,NgheAn,141.966,19.74
5,2017-04,153.288,21.64,3972210.75837054,NgheAn,3972210.75837054,4,2017,NgheAn,153.288,21.64
0,2016-11,108.077,23.33,599091.178571429,PhuYen,599091.178571429,11,2016,PhuYen,108.077,23.33
1,2016-12,213.869,21.71,599091.178571429,PhuYen,599091.178571429,12,2016,PhuYen,213.869,21.71
2,2017-01,77.055,21.43,604218.589285714,PhuYen,604218.589285714,1,2017,PhuYen,77.055,21.43
3,2017-02,32.776,21.51,604218.589285714,PhuYen,604218.589285714,2,2017,PhuYen,32.776,21.51
4,2017-03,52.141,24.21,604218.589285714,PhuYen,604218.589285714,3,2017,PhuYen,52.141,24.21
5,2017-04,116.456,25.53,604218.589285714,PhuYen,604218.589285714,4,2017,PhuYen,116.456,25.53
0,2016-11,60.842,21.07,904387.477120536,QuangBinh,904387.477120536,11,2016,QuangBinh,60.842,21.07
1,2016-12,30.726,18.93,904387.477120536,QuangBinh,904387.477120536,12,2016,QuangBinh,30.726,18.93
2,2017-01,127.719,18.13,911684.738560268,QuangBinh,911684.738560268,1,2017,QuangBinh,127.719,18.13
3,2017-02,25.323,18.37,911684.738560268,QuangBinh,911684.738560268,2,2017,QuangBinh,25.323,18.37
4,2017-03,82.403,21.21,911684.738560268,QuangBinh,911684.738560268,3,2017,QuangBinh,82.403,21.21
5,2017-04,120.314,24.35,911684.738560268,QuangBinh,911684.738560268,4,2017,QuangBinh,120.314,24.35
0,2016-11,38.272,21.33,1635290.48423549,QuangNam,1635290.48423549,11,2016,QuangNam,38.272,21.33
1,2016-12,12.806,19.51,1635290.48423549,QuangNam,1635290.48423549,12,2016,QuangNam,12.806,19.51
2,2017-01,22.59,18.97,1642168.24211775,QuangNam,1642168.24211775,1,2017,QuangNam,22.59,18.97
3,2017-02,24.49,18.48,1642168.24211775,QuangNam,1642168.24211775,2,2017,QuangNam,24.49,18.48
4,2017-03,89.605,21.23,1642168.24211775,QuangNam,1642168.24211775,3,2017,QuangNam,89.605,21.23
5,2017-04,54.665,24.08,1642168.24211775,QuangNam,1642168.24211775,4,2017,QuangNam,54.665,24.08
0,2016-11,252.415,26.38,3421853.19363839,ThanhHoa,3421853.19363839,11,2016,ThanhHoa,252.415,26.38
1,2016-12,198.27,25.47,3421853.19363839,ThanhHoa,3421853.19363839,12,2016,ThanhHoa,198.27,25.47
2,2017-01,104.295,25.64,3454984.5968192,ThanhHoa,3454984.5968192,1,2017,ThanhHoa,104.295,25.64
3,2017-02,60.636,25.75,3454984.5968192,ThanhHoa,3454984.5968192,2,2017,ThanhHoa,60.636,25.75
4,2017-03,70.511,27.15,3454984.5968192,ThanhHoa,3454984.5968192,3,2017,ThanhHoa,70.511,27.15
5,2017-04,139.006,27.57,3454984.5968192,ThanhHoa,3454984.5968192,4,2017,ThanhHoa,139.006,27.57
0,2016-11,168.292,26.57,1036908.96875,TienGiang,1036908.96875,11,2016,TienGiang,168.292,26.57
1,2016-12,187.675,25.64,1036908.96875,TienGiang,1036908.96875,12,2016,TienGiang,187.675,25.64
2,2017-01,120.393,26.1,1039466.984375,TienGiang,1039466.984375,1,2017,TienGiang,120.393,26.1
3,2017-02,44.355,26.38,1039466.984375,TienGiang,1039466.984375,2,2017,TienGiang,44.355,26.38
4,2017-03,37.357,27.93,1039466.984375,TienGiang,1039466.984375,3,2017,TienGiang,37.357,27.93
5,2017-04,122.822,28.36,1039466.984375,TienGiang,1039466.984375,4,2017,TienGiang,122.822,28.36
